run_date,updated_at,created_at,ingestion_date,org_slug,row_id,request_id,provider,timestamp_utc,date,time,hour,model,model_family,model_version,input_tokens,output_tokens,total_tokens,cached_input_tokens,total_cost_usd,input_cost_usd,output_cost_usd,cached_cost_usd,cost_per_1k_input,cost_per_1k_output,display_currency,total_cost_converted,input_cost_converted,output_cost_converted,cached_cost_converted,exchange_rate_used,exchange_rate_date,status,http_status,finish_reason,latency_ms,tokens_per_second,time_to_first_token_ms,year,month,day,minute,second,day_of_week,day_name,week_of_year,is_weekend,quarter,model_size,is_preview,is_legacy,api_version,cached_write_tokens,reasoning_tokens,audio_tokens,image_tokens,system_tokens,tool_tokens,context_window,context_used_pct,conversation_turns,message_count,max_tokens,temperature,top_p,frequency_penalty,presence_penalty,stream,n_choices,error_type,error_message,retry_count,stop_sequence,prompt_text,prompt_length_chars,prompt_length_words,prompt_lines,has_system_prompt,has_images,has_tools,has_json_mode,response_text,response_length_chars,response_length_words,response_lines,endpoint,organization_id,user_id,session_id,environment,source,tags,custom_metadata,content_filter_triggered,safety_ratings,moderation_flagged,export_timestamp,raw_response_json
2025-12-17,2025-12-17T03:28:09.817896+00:00,2025-12-13T05:34:15.393929+00:00,2025-12-17,acme_corp,1,chatcmpl-CmCYgt2RS5kEDZ0FzWpZW2GTaq6h9,openai,2025-12-13T05:34:15.393929+00:00,2025-12-13,05:34:15,5,gpt-4o-mini-2024-07-18,gpt-4o,mini,38,18,56,0,1.65e-05,5.7e-06,1.08e-05,0.0,0.00015,0.0006,INR,0.001371,0.000474,0.000898,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,34,15,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,16384,0.23,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 05:34:13 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.817896+00:00,{}
2025-12-17,2025-12-17T03:28:09.819268+00:00,2025-12-13T05:35:06.492439+00:00,2025-12-17,acme_corp,2,msg_01QsUfG8ufA2D5dNqBiAmfaR,anthropic,2025-12-13T05:35:06.492439+00:00,2025-12-13,05:35:06,5,claude-3-haiku-20240307,claude-3,haiku,39,36,75,0,5.475e-05,9.75e-06,4.5e-05,0.0,0.00025,0.00125,INR,0.004551,0.00081,0.00374,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,35,6,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,4096,0.95,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 05:35:05 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.819268+00:00,{}
2025-12-17,2025-12-17T03:28:09.819318+00:00,2025-12-13T07:03:18.932728+00:00,2025-12-17,acme_corp,3,,gemini,2025-12-13T07:03:18.932728+00:00,2025-12-13,07:03:18,7,gemini-2.5-flash,gemini-2.5,mini,38,2,40,0,6.9e-06,5.7e-06,1.2e-06,0.0,0.00015,0.0006,INR,0.000574,0.000474,0.0001,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,3,18,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,1000000,0.0,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 07:03:18 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.819318+00:00,{}
2025-12-17,2025-12-17T03:28:09.819357+00:00,2025-12-13T07:03:27.353842+00:00,2025-12-17,acme_corp,4,chatcmpl-CmDx0dWTVkIxdPMMa22vbEDXm7QIG,openai,2025-12-13T07:03:27.353842+00:00,2025-12-13,07:03:27,7,gpt-4o-mini-2024-07-18,gpt-4o,mini,38,18,56,0,1.65e-05,5.7e-06,1.08e-05,0.0,0.00015,0.0006,INR,0.001371,0.000474,0.000898,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,3,27,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,16384,0.23,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 07:03:25 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.819357+00:00,{}
2025-12-17,2025-12-17T03:28:09.819393+00:00,2025-12-13T07:03:28.239861+00:00,2025-12-17,acme_corp,5,msg_013cc64xQcaEfrp2NGTMPMP9,anthropic,2025-12-13T07:03:28.239861+00:00,2025-12-13,07:03:28,7,claude-3-haiku-20240307,claude-3,haiku,39,35,74,0,5.35e-05,9.75e-06,4.375e-05,0.0,0.00025,0.00125,INR,0.004447,0.00081,0.003636,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,3,28,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,4096,0.95,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 07:03:27 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.819393+00:00,{}
2025-12-17,2025-12-17T03:28:09.819431+00:00,2025-12-13T07:03:28.978640+00:00,2025-12-17,acme_corp,6,,gemini,2025-12-13T07:03:28.978640+00:00,2025-12-13,07:03:28,7,gemini-2.5-flash,gemini-2.5,mini,38,2,40,0,6.9e-06,5.7e-06,1.2e-06,0.0,0.00015,0.0006,INR,0.000574,0.000474,0.0001,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,3,28,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,1000000,0.0,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 07:03:28 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.819431+00:00,{}
2025-12-17,2025-12-17T03:28:09.819464+00:00,2025-12-13T07:40:39.284695+00:00,2025-12-17,acme_corp,7,chatcmpl-CmEX0981gL7aK96zWTZXTuugbp9iq,openai,2025-12-13T07:40:39.284695+00:00,2025-12-13,07:40:39,7,gpt-4o-mini-2024-07-18,gpt-4o,mini,38,16,54,0,1.53e-05,5.7e-06,9.6e-06,0.0,0.00015,0.0006,INR,0.001272,0.000474,0.000798,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,40,39,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,16384,0.23,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 07:40:37 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.819464+00:00,{}
2025-12-17,2025-12-17T03:28:09.819504+00:00,2025-12-13T07:40:40.029531+00:00,2025-12-17,acme_corp,8,msg_014znvZc1mhvxFtFhJb2jr14,anthropic,2025-12-13T07:40:40.029531+00:00,2025-12-13,07:40:40,7,claude-3-haiku-20240307,claude-3,haiku,39,35,74,0,5.35e-05,9.75e-06,4.375e-05,0.0,0.00025,0.00125,INR,0.004447,0.00081,0.003636,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,40,40,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,4096,0.95,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 07:40:39 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.819504+00:00,{}
2025-12-17,2025-12-17T03:28:09.819549+00:00,2025-12-13T07:40:40.848471+00:00,2025-12-17,acme_corp,9,,gemini,2025-12-13T07:40:40.848471+00:00,2025-12-13,07:40:40,7,gemini-2.5-flash,gemini-2.5,mini,38,2,40,0,6.9e-06,5.7e-06,1.2e-06,0.0,0.00015,0.0006,INR,0.000574,0.000474,0.0001,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,40,40,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,1000000,0.0,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 07:40:40 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.819549+00:00,{}
2025-12-17,2025-12-17T03:28:09.819587+00:00,2025-12-13T07:41:20.472326+00:00,2025-12-17,acme_corp,10,chatcmpl-CmEXfllfiZVa207jAiI5Fddn7uYEx,openai,2025-12-13T07:41:20.472326+00:00,2025-12-13,07:41:20,7,gpt-4o-mini-2024-07-18,gpt-4o,mini,38,13,51,0,1.35e-05,5.7e-06,7.8e-06,0.0,0.00015,0.0006,INR,0.001122,0.000474,0.000648,0.0,83.12,2025-12-14,success,200,,,,,2025,12,13,41,20,5,Saturday,50,True,Q4,,False,False,,0,0,0,0,0,0,16384,0.23,,,,,,,,,1,,,0,,"[Traffic Test - 2025-12-13 07:41:19 UTC] Hello, this is a test request. Please respond briefly.",95,15,1,False,False,False,False,,0,0,0,,,,,dev,generate_traffic.py,[],{},False,{},False,2025-12-17T03:28:09.819587+00:00,{}
